period start,updates/m,creations/m,sales/m
2026-04-26 15:40:00+00,111.2000000000000000,109.8000000000000000,311.0000000000000000
2026-04-26 15:45:00+00,123.4000000000000000,94.4000000000000000,308.2000000000000000
2026-04-26 15:50:00+00,129.2000000000000000,85.0000000000000000,264.8000000000000000
2026-04-26 15:55:00+00,145.0000000000000000,83.8000000000000000,328.8000000000000000
2026-04-26 16:00:00+00,122.0000000000000000,89.4000000000000000,298.6000000000000000
2026-04-26 16:05:00+00,91.8000000000000000,83.6000000000000000,288.2000000000000000
2026-04-26 16:10:00+00,97.8000000000000000,112.0000000000000000,310.0000000000000000
2026-04-26 16:15:00+00,124.4000000000000000,118.2000000000000000,272.6000000000000000
2026-04-26 16:20:00+00,114.6000000000000000,97.8000000000000000,284.8000000000000000
2026-04-26 16:25:00+00,114.4000000000000000,93.0000000000000000,274.0000000000000000
2026-04-26 16:30:00+00,92.8000000000000000,91.4000000000000000,358.0000000000000000
2026-04-26 16:35:00+00,97.2000000000000000,85.6000000000000000,281.8000000000000000
2026-04-26 16:40:00+00,113.8000000000000000,87.8000000000000000,306.6000000000000000
2026-04-26 16:45:00+00,133.4000000000000000,88.4000000000000000,368.2000000000000000
2026-04-26 16:50:00+00,108.8000000000000000,88.8000000000000000,335.2000000000000000
2026-04-26 16:55:00+00,102.4000000000000000,106.4000000000000000,327.2000000000000000
2026-04-26 17:00:00+00,86.2000000000000000,65.0000000000000000,344.6000000000000000
2026-04-26 17:05:00+00,86.4000000000000000,84.0000000000000000,374.8000000000000000
2026-04-26 17:10:00+00,78.8000000000000000,103.4000000000000000,350.4000000000000000
2026-04-26 17:15:00+00,95.0000000000000000,83.8000000000000000,338.0000000000000000
2026-04-26 17:20:00+00,109.4000000000000000,92.0000000000000000,384.6000000000000000
2026-04-26 17:25:00+00,112.6000000000000000,79.0000000000000000,436.8000000000000000
2026-04-26 17:30:00+00,103.2000000000000000,97.4000000000000000,333.6000000000000000
2026-04-26 17:35:00+00,99.8000000000000000,102.4000000000000000,286.6000000000000000
2026-04-26 17:40:00+00,94.8000000000000000,88.4000000000000000,288.6000000000000000
2026-04-26 17:45:00+00,91.6000000000000000,93.0000000000000000,317.2000000000000000
2026-04-26 17:50:00+00,111.8000000000000000,85.8000000000000000,327.4000000000000000
2026-04-26 17:55:00+00,111.0000000000000000,112.4000000000000000,285.6000000000000000
2026-04-26 18:00:00+00,118.4000000000000000,143.4000000000000000,365.2000000000000000
2026-04-26 18:05:00+00,113.6000000000000000,74.0000000000000000,340.2000000000000000
2026-04-26 18:10:00+00,118.6000000000000000,90.6000000000000000,381.0000000000000000
2026-04-26 18:15:00+00,106.0000000000000000,96.8000000000000000,451.6000000000000000
2026-04-26 18:20:00+00,100.8000000000000000,107.8000000000000000,338.8000000000000000
2026-04-26 18:25:00+00,86.2000000000000000,101.0000000000000000,378.0000000000000000
2026-04-26 18:30:00+00,132.6000000000000000,106.8000000000000000,376.2000000000000000
2026-04-26 18:35:00+00,119.0000000000000000,118.2000000000000000,375.8000000000000000
2026-04-26 18:40:00+00,115.4000000000000000,84.6000000000000000,324.8000000000000000
2026-04-26 18:45:00+00,121.6000000000000000,97.2000000000000000,346.4000000000000000
2026-04-26 18:50:00+00,110.6000000000000000,85.2000000000000000,301.8000000000000000
2026-04-26 18:55:00+00,110.4000000000000000,72.8000000000000000,418.4000000000000000
2026-04-26 19:00:00+00,112.4000000000000000,91.2000000000000000,372.4000000000000000
2026-04-26 19:05:00+00,106.2000000000000000,105.4000000000000000,372.0000000000000000
2026-04-26 19:10:00+00,106.0000000000000000,100.2000000000000000,364.6000000000000000
2026-04-26 19:15:00+00,120.4000000000000000,102.8000000000000000,375.0000000000000000
2026-04-26 19:20:00+00,93.8000000000000000,83.6000000000000000,270.4000000000000000
2026-04-26 19:25:00+00,94.0000000000000000,76.2000000000000000,329.0000000000000000
2026-04-26 19:30:00+00,83.6000000000000000,73.4000000000000000,329.4000000000000000
2026-04-26 19:35:00+00,92.8000000000000000,88.4000000000000000,325.4000000000000000
