"period start","updates/m","creations/m","sales/m","deletions/m","total/m"
"2026-04-19 23:30:00+00",75.6000000000000000,42.8000000000000000,231.2000000000000000,40.6000000000000000,390.2000000000000000
"2026-04-19 23:35:00+00",57.8000000000000000,41.2000000000000000,216.6000000000000000,49.2000000000000000,364.8000000000000000
"2026-04-19 23:40:00+00",53.0000000000000000,53.2000000000000000,227.6000000000000000,59.6000000000000000,393.4000000000000000
"2026-04-19 23:45:00+00",66.4000000000000000,37.6000000000000000,164.6000000000000000,51.2000000000000000,319.8000000000000000
"2026-04-19 23:50:00+00",87.0000000000000000,48.2000000000000000,219.2000000000000000,43.0000000000000000,397.4000000000000000
"2026-04-19 23:55:00+00",83.8000000000000000,49.2000000000000000,217.6000000000000000,58.8000000000000000,409.4000000000000000
"2026-04-20 00:00:00+00",68.0000000000000000,49.6000000000000000,233.4000000000000000,46.6000000000000000,397.6000000000000000
"2026-04-20 00:05:00+00",85.0000000000000000,47.2000000000000000,242.2000000000000000,47.2000000000000000,421.6000000000000000
"2026-04-20 00:10:00+00",90.4000000000000000,55.4000000000000000,228.4000000000000000,56.0000000000000000,430.2000000000000000
"2026-04-20 00:15:00+00",69.8000000000000000,48.4000000000000000,189.4000000000000000,63.4000000000000000,371.0000000000000000
"2026-04-20 00:20:00+00",60.2000000000000000,43.6000000000000000,213.8000000000000000,46.2000000000000000,363.8000000000000000
"2026-04-20 00:25:00+00",73.8000000000000000,40.2000000000000000,246.8000000000000000,40.2000000000000000,401.0000000000000000
"2026-04-20 00:30:00+00",46.2000000000000000,87.6000000000000000,266.2000000000000000,39.2000000000000000,439.2000000000000000
"2026-04-20 00:35:00+00",60.0000000000000000,54.8000000000000000,167.0000000000000000,61.6000000000000000,343.4000000000000000
"2026-04-20 00:40:00+00",54.0000000000000000,68.2000000000000000,133.2000000000000000,37.4000000000000000,292.8000000000000000
"2026-04-20 00:45:00+00",41.0000000000000000,60.6000000000000000,195.8000000000000000,38.8000000000000000,336.2000000000000000
"2026-04-20 00:50:00+00",51.0000000000000000,37.0000000000000000,178.6000000000000000,35.0000000000000000,301.6000000000000000
"2026-04-20 00:55:00+00",58.6000000000000000,36.4000000000000000,229.0000000000000000,45.2000000000000000,369.2000000000000000
"2026-04-20 01:00:00+00",62.2000000000000000,50.6000000000000000,194.8000000000000000,46.6000000000000000,354.2000000000000000
"2026-04-20 01:05:00+00",47.2000000000000000,57.2000000000000000,177.0000000000000000,45.4000000000000000,326.8000000000000000
"2026-04-20 01:10:00+00",69.4000000000000000,54.2000000000000000,186.4000000000000000,67.0000000000000000,377.0000000000000000
"2026-04-20 01:15:00+00",61.4000000000000000,47.8000000000000000,177.8000000000000000,50.0000000000000000,337.0000000000000000
"2026-04-20 01:20:00+00",49.0000000000000000,43.4000000000000000,222.6000000000000000,39.2000000000000000,354.2000000000000000
"2026-04-20 01:25:00+00",59.6000000000000000,46.4000000000000000,170.4000000000000000,38.8000000000000000,315.2000000000000000
"2026-04-20 01:30:00+00",68.0000000000000000,50.4000000000000000,244.4000000000000000,46.4000000000000000,409.2000000000000000
"2026-04-20 01:35:00+00",61.6000000000000000,49.6000000000000000,199.8000000000000000,40.6000000000000000,351.6000000000000000
"2026-04-20 01:40:00+00",54.0000000000000000,49.6000000000000000,290.8000000000000000,55.4000000000000000,449.8000000000000000
"2026-04-20 01:45:00+00",54.8000000000000000,49.8000000000000000,239.2000000000000000,54.0000000000000000,397.8000000000000000
"2026-04-20 01:50:00+00",71.6000000000000000,33.8000000000000000,313.2000000000000000,41.0000000000000000,459.6000000000000000
"2026-04-20 01:55:00+00",74.6000000000000000,39.2000000000000000,231.6000000000000000,58.8000000000000000,404.2000000000000000
"2026-04-20 02:00:00+00",52.6000000000000000,55.0000000000000000,216.2000000000000000,59.4000000000000000,383.2000000000000000
"2026-04-20 02:05:00+00",55.8000000000000000,35.2000000000000000,186.4000000000000000,49.0000000000000000,326.4000000000000000
"2026-04-20 02:10:00+00",64.4000000000000000,43.6000000000000000,213.8000000000000000,34.4000000000000000,356.2000000000000000
"2026-04-20 02:15:00+00",61.8000000000000000,44.2000000000000000,203.4000000000000000,48.8000000000000000,358.2000000000000000
